nome,pais,grupo,clube,paisclube,posicao,idade,jogos,gols
Igor Akinfeev (captain),Rússia,A,CSKA Moscow,Russia,GK,32,105,0
Mário Fernandes,Rússia,A,CSKA Moscow,Russia,DF,27,4,0
Ilya Kutepov,Rússia,A,Spartak Moscow,Russia,DF,24,6,0
Sergei Ignashevich,Rússia,A,CSKA Moscow,Russia,DF,38,121,8
Andrei Semyonov,Rússia,A,Akhmat Grozny,Russia,DF,29,6,0
Denis Cheryshev,Rússia,A,Villarreal,Espanha,MF,27,11,0
Daler Kuzyayev,Rússia,A,Zenit Saint Petersburg,Russia,MF,25,5,0
Yury Gazinsky,Rússia,A,Krasnodar,Russia,MF,28,5,0
Alan Dzagoev,Rússia,A,CSKA Moscow,Russia,MF,27,56,9
Fyodor Smolov,Rússia,A,Krasnodar,Russia,FW,28,31,12
Roman Zobnin,Rússia,A,Spartak Moscow,Russia,MF,24,11,0
Andrey Lunyov,Rússia,A,Zenit Saint Petersburg,Russia,GK,26,3,0
Fyodor Kudryashov,Rússia,A,Rubin Kazan,Russia,DF,31,18,0
Vladimir Granat,Rússia,A,Rubin Kazan,Russia,DF,31,12,1
Aleksei Miranchuk,Rússia,A,Lokomotiv Moscow,Russia,MF,22,17,4
Anton Miranchuk,Rússia,A,Lokomotiv Moscow,Russia,MF,22,5,0
Aleksandr Golovin,Rússia,A,CSKA Moscow,Russia,MF,22,18,2
Yuri Zhirkov,Rússia,A,Zenit Saint Petersburg,Russia,MF,34,83,2
Aleksandr Samedov,Rússia,A,Spartak Moscow,Russia,MF,33,47,6
Vladimir Gabulov,Rússia,A,Club Brugge,Belgica,GK,34,10,0
Aleksandr Yerokhin,Rússia,A,Zenit Saint Petersburg,Russia,MF,28,17,0
Artem Dzyuba,Rússia,A,Arsenal Tula,Russia,FW,29,23,11
Igor Smolnikov,Rússia,A,Zenit Saint Petersburg,Russia,DF,29,26,0
Abdullah Al-Mayouf,Arabia Saudita,A,Al-Hilal,Arabia Saudita,GK,31,10,0
Mansoor Al-Harbi,Arabia Saudita,A,Al-Ahli,Arabia Saudita,DF,30,39,1
Osama Hawsawi (captain),Arabia Saudita,A,Al-Hilal,Arabia Saudita,DF,34,134,7
Ali Al-Bulaihi,Arabia Saudita,A,Al-Hilal,Arabia Saudita,DF,28,3,0
Omar Hawsawi,Arabia Saudita,A,Al-Nassr,Arabia Saudita,DF,32,41,3
Mohammed Al-Breik,Arabia Saudita,A,Al-Hilal,Arabia Saudita,DF,25,10,1
Salman Al-Faraj,Arabia Saudita,A,Al-Hilal,Arabia Saudita,MF,28,42,3
Yahya Al-Shehri,Arabia Saudita,A,Al-Nassr,Arabia Saudita,MF,27,56,8
Hattan Bahebri,Arabia Saudita,A,Al-Shabab,Arabia Saudita,MF,25,4,0
Mohammad Al-Sahlawi,Arabia Saudita,A,Al-Nassr,Arabia Saudita,FW,31,39,28
Abdulmalek Al-Khaibri,Arabia Saudita,A,Al-Hilal,Arabia Saudita,MF,32,36,0
Mohamed Kanno,Arabia Saudita,A,Al-Hilal,Arabia Saudita,MF,23,6,1
Yasser Al-Shahrani,Arabia Saudita,A,Al-Hilal,Arabia Saudita,DF,26,36,0
Abdullah Otayf,Arabia Saudita,A,Al-Hilal,Arabia Saudita,MF,25,15,1
Abdullah Al-Khaibari,Arabia Saudita,A,Al-Shabab,Arabia Saudita,MF,21,4,0
Housain Al-Mogahwi,Arabia Saudita,A,Al-Ahli,Arabia Saudita,MF,30,17,1
Taisir Al-Jassim,Arabia Saudita,A,Al-Ahli,Arabia Saudita,MF,33,131,18
Salem Al-Dawsari,Arabia Saudita,A,Villarreal,Espanha,MF,26,32,4
Fahad Al-Muwallad,Arabia Saudita,A,Levante,Espanha,FW,23,44,10
Muhannad Assiri,Arabia Saudita,A,Al-Ahli,Arabia Saudita,FW,31,18,4
Yasser Al-Mosailem,Arabia Saudita,A,Al-Ahli,Arabia Saudita,GK,34,32,0
Mohammed Al-Owais,Arabia Saudita,A,Al-Ahli,Arabia Saudita,GK,26,6,0
Motaz Hawsawi,Arabia Saudita,A,Al-Ahli,Arabia Saudita,DF,26,17,0
Essam El-Hadary (captain),Egito,A,Al-Taawoun,Arabia Saudita,GK,45,157,0
Ali Gabr,Egito,A,West Bromwich Albion,Inglaterra,DF,29,20,1
Ahmed Elmohamady,Egito,A,Aston Villa,Inglaterra,DF,30,77,2
Omar Gaber,Egito,A,Los Angeles FC,EUA,MF,26,23,0
Sam Morsy,Egito,A,Wigan Athletic,Inglaterra,MF,26,4,0
Ahmed Hegazi,Egito,A,West Bromwich Albion,Inglaterra,DF,27,44,1
Ahmed Fathy,Egito,A,Al Ahly,Egito,DF,33,125,3
Tarek Hamed,Egito,A,Zamalek,Egito,MF,29,20,0
Marwan Mohsen,Egito,A,Al Ahly,Egito,FW,29,23,4
Mohamed Salah,Egito,A,Liverpool,Inglaterra,FW,25,57,33
Kahraba,Egito,A,Al-Ittihad,Arabia Saudita,FW,24,18,3
Ayman Ashraf,Egito,A,Al Ahly,Egito,DF,27,4,0
Mohamed Abdel-Shafy,Egito,A,Al-Fateh,Arabia Saudita,DF,32,50,1
Ramadan Sobhi,Egito,A,Stoke City,Inglaterra,FW,21,22,1
Mahmoud Hamdy,Egito,A,Zamalek,Egito,DF,23,0,0
Sherif Ekramy,Egito,A,Al Ahly,Egito,GK,34,22,0
Mohamed Elneny,Egito,A,Arsenal,Inglaterra,MF,25,60,5
Shikabala,Egito,A,Al-Raed,Arabia Saudita,FW,32,29,2
Abdallah Said,Egito,A,KuPS,Finlandia,MF,32,35,6
Saad Samir,Egito,A,Al Ahly,Egito,DF,29,11,0
Trézéguet,Egito,A,Kasımpaşa,Turquia,MF,23,23,2
Amr Warda,Egito,A,Atromitos,Grecia,FW,24,15,0
Mohamed El-Shenawy,Egito,A,Al Ahly,Egito,GK,29,2,0
Fernando Muslera,Uruguai,A,Galatasaray,Turquia,GK,31,96,0
José Giménez,Uruguai,A,Atlético Madrid,Espanha,DF,23,41,4
Diego Godín (captain),Uruguai,A,Atlético Madrid,Espanha,DF,32,115,8
Guillermo Varela,Uruguai,A,Peñarol,Uruguai,DF,25,3,0
Carlos Sánchez,Uruguai,A,Monterrey,Mexico,MF,33,35,1
Rodrigo Bentancur,Uruguai,A,Juventus,Italia,MF,20,6,0
Cristian Rodríguez,Uruguai,A,Peñarol,Uruguai,MF,32,104,11
Nahitan Nández,Uruguai,A,Boca Juniors,Argentina,MF,22,11,0
Luis Suárez,Uruguai,A,Barcelona,Espanha,FW,31,97,50
Giorgian De Arrascaeta,Uruguai,A,Cruzeiro,Brasil,FW,24,13,1
Cristhian Stuani,Uruguai,A,Girona,Espanha,FW,31,40,5
Martín Campaña,Uruguai,A,Independiente,Argentina,GK,29,1,0
Gastón Silva,Uruguai,A,Independiente,Argentina,DF,24,17,0
Lucas Torreira,Uruguai,A,Sampdoria,Italia,MF,22,2,0
Matías Vecino,Uruguai,A,Internazionale,Italia,MF,26,21,1
Maxi Pereira,Uruguai,A,Porto,Portugal,DF,34,124,3
Diego Laxalt,Uruguai,A,Genoa,Italia,MF,25,5,0
Maxi Gómez,Uruguai,A,Celta Vigo,Espanha,FW,21,4,0
Sebastián Coates,Uruguai,A,Sporting CP,Portugal,DF,27,30,1
Jonathan Urretaviscaya,Uruguai,A,Monterrey,Mexico,FW,28,4,0
Edinson Cavani,Uruguai,A,Paris Saint-Germain,França,FW,31,100,42
Martín Cáceres,Uruguai,A,Lazio,Italia,DF,31,75,4
Martín Silva,Uruguai,A,Vasco da Gama,Brasil,GK,35,11,0
Rui Patrício,Portugal,B,Sporting CP,Portugal,GK,30,68,0
Bruno Alves,Portugal,B,Rangers,Escocia,DF,36,95,11
Pepe,Portugal,B,Beşiktaş,Turquia,DF,35,93,5
Manuel Fernandes,Portugal,B,Lokomotiv Moscow,Russia,MF,32,13,3
Raphaël Guerreiro,Portugal,B,Borussia Dortmund,Alemanha,DF,24,22,2
José Fonte,Portugal,B,Dalian Yifang,China,DF,34,29,0
Cristiano Ronaldo (captain),Portugal,B,Real Madrid,Espanha,FW,33,149,81
João Moutinho,Portugal,B,Monaco,França,MF,31,108,7
André Silva,Portugal,B,Milan,Italia,FW,22,21,12
João Mário,Portugal,B,West Ham United,Inglaterra,MF,25,34,2
Bernardo Silva,Portugal,B,Manchester City,Inglaterra,FW,23,23,2
Anthony Lopes,Portugal,B,Lyon,França,GK,27,7,0
Rúben Dias,Portugal,B,Benfica,Portugal,DF,21,1,0
William Carvalho,Portugal,B,Sporting CP,Portugal,MF,26,41,2
Ricardo Pereira,Portugal,B,Porto,Portugal,DF,24,4,0
Bruno Fernandes,Portugal,B,Sporting CP,Portugal,MF,23,4,0
Gonçalo Guedes,Portugal,B,Valencia,Espanha,FW,21,8,1
Gelson Martins,Portugal,B,Sporting CP,Portugal,FW,23,17,0
Mário Rui,Portugal,B,Napoli,Italia,DF,27,2,0
Ricardo Quaresma,Portugal,B,Beşiktaş,Turquia,FW,34,75,9
Cédric,Portugal,B,Southampton,Inglaterra,DF,26,27,1
Beto,Portugal,B,Göztepe,Turquia,GK,36,13,0
Adrien Silva,Portugal,B,Leicester City,Inglaterra,MF,29,22,1
David de Gea,Espanha,B,Manchester United,Inglaterra,GK,27,28,0
Dani Carvajal,Espanha,B,Real Madrid,Espanha,DF,26,15,0
Gerard Piqué,Espanha,B,Barcelona,Espanha,DF,31,97,5
Nacho,Espanha,B,Real Madrid,Espanha,DF,28,16,0
Sergio Busquets,Espanha,B,Barcelona,Espanha,MF,29,102,2
Andrés Iniesta,Espanha,B,Barcelona,Espanha,MF,34,126,14
Saúl,Espanha,B,Atlético Madrid,Espanha,MF,23,10,0
Koke,Espanha,B,Atlético Madrid,Espanha,MF,26,39,0
Rodrigo,Espanha,B,Valencia,Espanha,FW,27,5,2
Thiago,Espanha,B,Bayern Munich,Alemanha,MF,27,28,2
Lucas Vázquez,Espanha,B,Real Madrid,Espanha,FW,26,6,0
Álvaro Odriozola,Espanha,B,Real Sociedad,Espanha,DF,22,3,1
Kepa Arrizabalaga,Espanha,B,Athletic Bilbao,Espanha,GK,23,1,0
César Azpilicueta,Espanha,B,Chelsea,Inglaterra,DF,28,22,0
Sergio Ramos (captain),Espanha,B,Real Madrid,Espanha,DF,32,151,13
Nacho Monreal,Espanha,B,Arsenal,Inglaterra,DF,32,22,1
Iago Aspas,Espanha,B,Celta Vigo,Espanha,FW,30,9,4
Jordi Alba,Espanha,B,Barcelona,Espanha,DF,29,61,8
Diego Costa,Espanha,B,Atlético Madrid,Espanha,FW,29,19,7
Marco Asensio,Espanha,B,Real Madrid,Espanha,MF,22,11,0
David Silva,Espanha,B,Manchester City,Inglaterra,FW,32,120,35
Isco,Espanha,B,Real Madrid,Espanha,MF,26,27,10
Pepe Reina,Espanha,B,Napoli,Italia,GK,35,36,0
Yassine Bounou,Marrocos,B,Girona,Espanha,GK,27,11,0
Achraf Hakimi,Marrocos,B,Real Madrid,Espanha,DF,19,9,1
Hamza Mendyl,Marrocos,B,Lille,França,DF,20,13,0
Manuel da Costa,Marrocos,B,İstanbul Başakşehir,Turquia,DF,32,27,1
Medhi Benatia (captain),Marrocos,B,Juventus,Italia,DF,31,56,2
Romain Saïss,Marrocos,B,Wolverhampton Wanderers,Inglaterra,DF,28,23,1
Hakim Ziyech,Marrocos,B,Ajax,Holanda,MF,25,17,8
Karim El Ahmadi,Marrocos,B,Feyenoord,Holanda,MF,33,50,1
Ayoub El Kaabi,Marrocos,B,RS Berkane,Marrocos,FW,24,9,11
Younès Belhanda,Marrocos,B,Galatasaray,Turquia,MF,28,46,4
Fayçal Fajr,Marrocos,B,Getafe,Espanha,MF,29,23,2
Munir Mohamedi,Marrocos,B,Numancia,Espanha,GK,29,26,0
Khalid Boutaïb,Marrocos,B,Yeni Malatyaspor,Turquia,FW,31,17,7
Mbark Boussoufa,Marrocos,B,Al-Jazira,Emirados Arabes,MF,33,58,7
Youssef Aït Bennasser,Marrocos,B,Caen,França,MF,21,13,0
Nordin Amrabat,Marrocos,B,Leganés,Espanha,MF,31,43,4
Nabil Dirar,Marrocos,B,Fenerbahçe,Turquia,DF,32,34,3
Amine Harit,Marrocos,B,Schalke 04,Alemanha,MF,20,5,0
Youssef En-Nesyri,Marrocos,B,Málaga,Espanha,FW,21,15,1
Aziz Bouhaddouz,Marrocos,B,FC St. Pauli,Alemanha,FW,31,14,3
Sofyan Amrabat,Marrocos,B,Feyenoord,Holanda,MF,21,5,0
Ahmed Reda Tagnaouti,Marrocos,B,IR Tanger,Marrocos,GK,22,2,0
Mehdi Carcela,Marrocos,B,Standard Liège,Belgica,MF,28,20,1
Alireza Beiranvand,Irã,B,Persepolis,Iran,GK,25,21,0
Mehdi Torabi,Irã,B,Saipa,Iran,MF,23,16,4
Ehsan Hajsafi,Irã,B,Olympiacos,Grecia,DF,28,93,6
Rouzbeh Cheshmi,Irã,B,Esteghlal,Iran,DF,24,9,1
Milad Mohammadi,Irã,B,Akhmat Grozny,Russia,DF,24,18,0
Saeid Ezatolahi,Irã,B,Amkar Perm,Russia,MF,21,25,1
Masoud Shojaei (captain),Irã,B,AEK Athens,Grecia,MF,34,73,8
Morteza Pouraliganji,Irã,B,Al-Sadd,Qatar,DF,26,26,2
Omid Ebrahimi,Irã,B,Esteghlal,Iran,MF,30,29,0
Karim Ansarifard,Irã,B,Olympiacos,Grecia,FW,28,63,16
Vahid Amiri,Irã,B,Persepolis,Iran,MF,30,35,1
Mohammad Rashid Mazaheri,Irã,B,Zob Ahan Esfahan,Iran,GK,29,3,0
Mohammad Reza Khanzadeh,Irã,B,Padideh,Iran,DF,27,11,1
Saman Ghoddos,Irã,B,Östersund,Suecia,FW,24,7,1
Pejman Montazeri,Irã,B,Esteghlal,Iran,DF,34,46,1
Reza Ghoochannejhad,Irã,B,Heerenveen,Holanda,FW,30,42,17
Mehdi Taremi,Irã,B,Al-Gharafa,Qatar,FW,25,25,11
Alireza Jahanbakhsh,Irã,B,AZ,Holanda,FW,24,37,4
Majid Hosseini,Irã,B,Esteghlal,Iran,DF,21,1,0
Sardar Azmoun,Irã,B,Rubin Kazan,Russia,FW,23,32,23
Ashkan Dejagah,Irã,B,Nottingham Forest,Inglaterra,FW,31,45,9
Amir Abedzadeh,Irã,B,Marítimo,Portugal,GK,25,1,0
Ramin Rezaeian,Irã,B,Oostende,Belgica,DF,28,27,2
Hugo Lloris (captain),França,C,Tottenham Hotspur,Inglaterra,GK,31,96,0
Benjamin Pavard,França,C,VfB Stuttgart,Alemanha,DF,22,4,0
Presnel Kimpembe,França,C,Paris Saint-Germain,França,DF,22,2,0
Raphaël Varane,França,C,Real Madrid,Espanha,DF,25,41,2
Samuel Umtiti,França,C,Barcelona,Espanha,DF,24,17,1
Paul Pogba,França,C,Manchester United,Inglaterra,MF,25,52,9
Antoine Griezmann,França,C,Atlético Madrid,Espanha,FW,27,52,19
Thomas Lemar,França,C,Monaco,França,FW,22,10,3
Olivier Giroud,França,C,Chelsea,Inglaterra,FW,31,72,31
Kylian Mbappé,França,C,Paris Saint-Germain,França,FW,19,13,3
Ousmane Dembélé,França,C,Barcelona,Espanha,FW,21,10,1
Corentin Tolisso,França,C,Bayern Munich,Alemanha,MF,23,7,0
N'Golo Kanté,França,C,Chelsea,Inglaterra,MF,27,22,1
Blaise Matuidi,França,C,Juventus,Italia,MF,31,65,9
Steven Nzonzi,França,C,Sevilla,Espanha,MF,29,3,0
Steve Mandanda,França,C,Marseille,França,GK,33,27,0
Adil Rami,França,C,Marseille,França,DF,32,34,1
Nabil Fekir,França,C,Lyon,França,FW,24,11,2
Djibril Sidibé,França,C,Monaco,França,DF,25,16,1
Florian Thauvin,França,C,Marseille,França,FW,25,3,0
Lucas Hernández,França,C,Atlético Madrid,Espanha,DF,22,3,0
Benjamin Mendy,França,C,Manchester City,Inglaterra,DF,23,5,0
Alphonse Areola,França,C,Paris Saint-Germain,França,GK,25,0,0
Kasper Schmeichel,Dinamarca,C,Leicester City,Inglaterra,GK,31,34,0
Michael Krohn-Dehli,Dinamarca,C,Deportivo La Coruña,Espanha,MF,35,58,6
Jannik Vestergaard,Dinamarca,C,Borussia Mönchengladbach,Alemanha,DF,25,16,1
Simon Kjær (captain),Dinamarca,C,Sevilla,Espanha,DF,29,77,3
Jonas Knudsen,Dinamarca,C,Ipswich Town,Inglaterra,DF,25,3,0
Andreas Christensen,Dinamarca,C,Chelsea,Inglaterra,DF,22,15,1
William Kvist,Dinamarca,C,Copenhagen,Dinamarca,MF,33,79,2
Thomas Delaney,Dinamarca,C,Werder Bremen,Alemanha,MF,26,26,4
Nicolai Jørgensen,Dinamarca,C,Feyenoord,Holanda,FW,27,30,8
Christian Eriksen,Dinamarca,C,Tottenham Hotspur,Inglaterra,MF,26,77,21
Martin Braithwaite,Dinamarca,C,Bordeaux,França,FW,27,19,1
Kasper Dolberg,Dinamarca,C,Ajax,Holanda,FW,20,5,1
Mathias Jørgensen,Dinamarca,C,Huddersfield Town,Inglaterra,DF,28,12,0
Henrik Dalsgaard,Dinamarca,C,Brentford,Inglaterra,DF,28,10,0
Viktor Fischer,Dinamarca,C,Copenhagen,Dinamarca,FW,24,18,3
Jonas Lössl,Dinamarca,C,Huddersfield Town,Inglaterra,GK,29,1,0
Jens Stryger Larsen,Dinamarca,C,Udinese,Italia,DF,27,12,1
Lukas Lerager,Dinamarca,C,Bordeaux,França,MF,24,3,0
Lasse Schöne,Dinamarca,C,Ajax,Holanda,MF,32,35,3
Yussuf Poulsen,Dinamarca,C,RB Leipzig,Alemanha,FW,23,27,3
Andreas Cornelius,Dinamarca,C,Atalanta,Italia,FW,25,18,4
Frederik Rønnow,Dinamarca,C,Brøndby,Dinamarca,GK,25,6,0
Pione Sisto,Dinamarca,C,Celta Vigo,Espanha,FW,23,13,1
Mathew Ryan,Austrália,C,Brighton & Hove Albion,Inglaterra,GK,26,43,0
Milos Degenek,Austrália,C,Yokohama F. Marinos,Japao,DF,24,18,0
James Meredith,Austrália,C,Millwall,Inglaterra,DF,30,2,0
Tim Cahill,Austrália,C,Millwall,Inglaterra,FW,38,105,50
Mark Milligan,Austrália,C,Al-Ahli,Arabia Saudita,DF,32,70,6
Matthew Jurman,Austrália,C,Suwon Samsung Bluewings,Coreia,DF,28,4,0
Mathew Leckie,Austrália,C,Hertha BSC,Alemanha,FW,27,52,8
Massimo Luongo,Austrália,C,Queens Park Rangers,Inglaterra,MF,25,35,5
Tomi Juric,Austrália,C,Luzern,Suiça,FW,26,34,8
Robbie Kruse,Austrália,C,VfL Bochum,Alemanha,FW,29,63,5
Andrew Nabbout,Austrália,C,Urawa Red Diamonds,Japão,FW,25,3,1
Brad Jones,Austrália,C,Feyenoord,Holanda,GK,36,5,0
Aaron Mooy,Austrália,C,Huddersfield Town,Inglaterra,MF,27,33,5
Jamie Maclaren,Austrália,C,Hibernian,Escocia,FW,24,6,0
Mile Jedinak (captain),Austrália,C,Aston Villa,Inglaterra,MF,33,75,18
Aziz Behich,Austrália,C,Bursaspor,Turquia,DF,27,22,2
Daniel Arzani,Austrália,C,Melbourne City,Australia,FW,19,1,0
Danny Vukovic,Austrália,C,Genk,Belgica,GK,33,1,0
Josh Risdon,Austrália,C,Western Sydney Wanderers,Australia,DF,25,7,0
Trent Sainsbury,Austrália,C,Grasshoppers,Suiça,DF,26,34,3
Dimitri Petratos,Austrália,C,Newcastle Jets,Australia,FW,25,2,0
Jackson Irvine,Austrália,C,Hull City,Inglaterra,MF,25,18,2
Tom Rogic,Austrália,C,Celtic,Escocia,MF,25,36,7
Pedro Gallese,Peru,C,Veracruz,Mexico,GK,28,37,0
Alberto Rodríguez,Peru,C,Atlético Junior,Colombia,DF,34,58,0
Aldo Corzo,Peru,C,Universitario,Peru,DF,29,25,0
Anderson Santamaría,Peru,C,Puebla,Mexico,DF,26,3,0
Miguel Araujo,Peru,C,Alianza Lima,Peru,DF,23,7,0
Miguel Trauco,Peru,C,Flamengo,Brasil,DF,25,26,0
Paolo Hurtado,Peru,C,Vitória de Guimarães,Portugal,MF,27,31,3
Christian Cueva,Peru,C,São Paulo,Brasil,MF,26,43,8
Paolo Guerrero (captain),Peru,C,Flamengo,Brasil,FW,34,87,34
Jefferson Farfán,Peru,C,Lokomotiv Moscow,Russia,FW,33,83,25
Raúl Ruidíaz,Peru,C,Morelia,Mexico,FW,27,30,4
Carlos Cáceda,Peru,C,Deportivo Municipal,Peru,GK,26,4,0
Renato Tapia,Peru,C,Feyenoord,Holanda,MF,22,22,1
Andy Polo,Peru,C,Portland Timbers,EUA,MF,23,16,1
Christian Ramos,Peru,C,Veracruz,Mexico,DF,29,65,3
Wilder Cartagena,Peru,C,Veracruz,Mexico,MF,23,3,0
Luis Advíncula,Peru,C,Lobos BUAP,Mexico,DF,28,64,0
André Carrillo,Peru,C,Watford,Inglaterra,FW,27,44,5
Yoshimar Yotún,Peru,C,Orlando City,EUA,MF,28,72,2
Edison Flores,Peru,C,AaB,Dinamarca,FW,24,28,9
José Carvallo,Peru,C,UTC,Peru,GK,32,6,0
Nilson Loyola,Peru,C,Melgar,Peru,DF,23,3,0
Pedro Aquino,Peru,C,Lobos BUAP,Mexico,MF,23,12,0
Nahuel Guzmán,Argentina,D,UANL,Mexico,GK,32,6,0
Gabriel Mercado,Argentina,D,Sevilla,Espanha,DF,31,20,3
Nicolás Tagliafico,Argentina,D,Ajax,Holanda,DF,25,4,0
Cristian Ansaldi,Argentina,D,Torino,Italia,DF,31,5,0
Lucas Biglia,Argentina,D,Milan,Italia,MF,32,36,1
Federico Fazio,Argentina,D,Roma,Italia,DF,31,9,1
Éver Banega,Argentina,D,Sevilla,Espanha,MF,29,62,6
Marcos Acuña,Argentina,D,Sporting CP,Portugal,MF,26,10,0
Gonzalo Higuaín,Argentina,D,Juventus,Italia,FW,30,71,31
Lionel Messi (captain),Argentina,D,Barcelona,Espanha,FW,30,124,64
Ángel Di María,Argentina,D,Paris Saint-Germain,França,MF,30,94,19
Franco Armani,Argentina,D,River Plate,Argentina,GK,31,0,0
Maximiliano Meza,Argentina,D,Independiente,Argentina,MF,26,2,0
Javier Mascherano,Argentina,D,Hebei China Fortune,China,MF,34,143,3
